,name,serving_size,calories,total_fat,saturated_fat,cholesterol,sodium,choline,folate,folic_acid,niacin,pantothenic_acid,riboflavin,thiamin,vitamin_a,vitamin_a_rae,carotene_alpha,carotene_beta,cryptoxanthin_beta,lutein_zeaxanthin,lucopene,vitamin_b12,vitamin_b6,vitamin_c,vitamin_d,vitamin_e,tocopherol_alpha,vitamin_k,calcium,copper,irom,magnesium,manganese,phosphorous,potassium,selenium,zink,protein,alanine,arginine,aspartic_acid,cystine,glutamic_acid,glycine,histidine,hydroxyproline,isoleucine,leucine,lysine,methionine,phenylalanine,proline,serine,threonine,tryptophan,tyrosine,valine,carbohydrate,fiber,sugars,fructose,galactose,glucose,lactose,maltose,sucrose,fat,saturated_fatty_acids,monounsaturated_fatty_acids,polyunsaturated_fatty_acids,fatty_acids_total_trans,alcohol,ash,caffeine,theobromine,water
345,"Luxury loaf, pork",100 g,141,4.8g,1.6g,36mg,1225.00 mg,0,2.00 mcg,0.00 mcg,3.482 mg,0.515 mg,0.297 mg,0.707 mg,0.00 IU,0.00 mcg,0,0,0,0,0,1.37 mcg,0.310 mg,0.0 mg,28.00 IU,0,0,0,36.00 mg,0.100 mg,1.05 mg,20.00 mg,0.041 mg,185.00 mg,377.00 mg,21.5 mcg,3.05 mg,18.40 g,1.073 g,1.170 g,1.741 g,0.153 g,2.941 g,0.929 g,0.656 g,0,0.815 g,1.517 g,1.653 g,0.468 g,0.718 g,0.912 g,0.826 g,0.879 g,0.215 g,0.644 g,0.894 g,4.90 g,0.0 g,0,0,0,0,0,0,0,4.80 g,1.580 g,2.330 g,0.510 g,36.00 mg,0,3.60 g,0,0,68.20 g
346,"Rye flour, medium",100 g,349,1.5g,0.2g,0,2.00 mg,20.6 mg,34.00 mcg,0.00 mcg,1.727 mg,0.492 mg,0.114 mg,0.287 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,210.00 mcg,0,0.00 mcg,0.268 mg,0.0 mg,0.00 IU,1.43 mg,1.43 mg,5.9 mcg,24.00 mg,0.331 mg,2.54 mg,63.00 mg,2.412 mg,225.00 mg,374.00 mg,14.4 mcg,2.17 mg,10.88 g,0.410 g,0.470 g,0.542 g,0,2.527 g,0.426 g,0.159 g,0,0.253 g,0.611 g,0.212 g,0.136 g,0.488 g,0.851 g,0.484 g,0.341 g,0.123 g,0.183 g,0.348 g,75.43 g,11.8 g,1.10 g,0.12 g,0.00 g,0.06 g,0.00 g,0.02 g,0.90 g,1.52 g,0.180 g,0.189 g,0.695 g,0.00 mg,0.0 g,1.20 g,0.00 mg,0.00 mg,10.97 g
347,"DENNY'S, coleslaw",100 g,183,15g,2.3g,23mg,376.00 mg,0,0,0,0.263 mg,0.315 mg,0.059 mg,0.027 mg,707.00 IU,42.00 mcg,197.00 mcg,309.00 mcg,2.00 mcg,78.00 mcg,0,0,0.102 mg,13.2 mg,0,0.93 mg,0.93 mg,86.1 mcg,32.00 mg,0.019 mg,0.34 mg,9.00 mg,0.151 mg,29.00 mg,141.00 mg,2.9 mcg,0.20 mg,0.97 g,0.060 g,0.080 g,0.090 g,0.020 g,0.180 g,0.030 g,0.030 g,0.000 g,0.040 g,0.060 g,0.070 g,0.020 g,0.030 g,0.007 g,0.060 g,0.030 g,0.010 g,0.020 g,0.050 g,10.88 g,1.3 g,8.16 g,2.37 g,0.00 g,2.81 g,0.00 g,0.00 g,2.97 g,15.03 g,2.344 g,3.197 g,8.432 g,23.00 mg,0,1.35 g,0,0,71.77 g
348,"Bread, wheat bran",100 g,248,3.4g,0.8g,0,486.00 mg,18.7 mg,105.00 mcg,80.00 mcg,4.402 mg,0.536 mg,0.287 mg,0.397 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,54.00 mcg,0,0.00 mcg,0.176 mg,0.0 mg,0.00 IU,0.32 mg,0.32 mg,1.3 mcg,74.00 mg,0.221 mg,3.07 mg,81.00 mg,1.668 mg,185.00 mg,227.00 mg,31.0 mcg,1.35 mg,8.80 g,0.311 g,0.357 g,0.433 g,0.191 g,2.750 g,0.334 g,0.196 g,0,0.332 g,0.603 g,0.235 g,0.152 g,0.419 g,0.918 g,0.419 g,0.256 g,0.111 g,0.252 g,0.385 g,47.80 g,4.0 g,9.68 g,0,0,0,0,0,0,3.40 g,0.779 g,1.618 g,0.649 g,0.00 mg,0.0 g,2.20 g,0.00 mg,0.00 mg,37.80 g
349,"Croissants, apple",100 g,254,8.7g,5g,31mg,274.00 mg,0,57.00 mcg,44.00 mcg,1.600 mg,0.596 mg,0.164 mg,0.232 mg,380.00 IU,94.00 mcg,0,0,0,0,0,0.20 mcg,0.032 mg,0.5 mg,0,0,0,0,30.00 mg,0.040 mg,1.10 mg,13.00 mg,0.210 mg,58.00 mg,90.00 mg,19.0 mcg,1.03 mg,7.40 g,0.296 g,0.309 g,0.456 g,0.140 g,1.970 g,0.296 g,0.166 g,0,0.325 g,0.556 g,0.318 g,0.151 g,0.359 g,0.712 g,0.383 g,0.256 g,0.086 g,0.243 g,0.368 g,37.10 g,2.5 g,0,0,0,0,0,0,0,8.70 g,4.994 g,2.393 g,0.628 g,31.00 mg,0,1.20 g,0,0,45.60 g
350,"Candies, Tamarind",100 g,368,0g,,0,1643.00 mg,4.2 mg,7.00 mcg,0.00 mcg,0.950 mg,0.070 mg,0.085 mg,0.212 mg,15.00 IU,1.00 mcg,0.00 mcg,9.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.032 mg,0.0 mg,0.00 IU,0.05 mg,0.05 mg,1.4 mcg,0.00 mg,0.048 mg,0.00 mg,45.00 mg,0.007 mg,56.00 mg,309.00 mg,1.0 mcg,0.08 mg,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.96 g,2.5 g,78.57 g,0,0,0,0,0,0,0.00 g,0.000 g,0.000 g,0.000 g,0.00 mg,0.0 g,5.52 g,0.00 mg,0.00 mg,2.52 g
351,"Oheloberries, raw",100 g,28,0.2g,,0,1.00 mg,0,0,0,0.270 mg,0,0.036 mg,0.017 mg,830.00 IU,42.00 mcg,0,0,0,0,0,0.00 mcg,0,6.0 mg,0,0,0,0,7.00 mg,0,0.09 mg,6.00 mg,0,10.00 mg,38.00 mg,0,0,0.38 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.84 g,0,0,0,0,0,0,0,0,0.22 g,0,0,0,0.00 mg,0,0.26 g,0,0,92.30 g
352,"PACE, Salsa Verde",100 g,47,1.6g,,0,719.00 mg,0,0,0,0,0,0,0,625.00 IU,0,0,0,0,0,0,0,0,3.8 mg,0,0,0,0,0.00 mg,0,0.00 mg,0,0,0,203.00 mg,0,0,0.00 g,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25 g,0.0 g,6.25 g,0,0,0,0,0,0,1.56 g,0.000 g,0,0,0.00 mg,0,4.09 g,0,0,88.10 g
353,Barley malt flour,100 g,361,1.8g,0.4g,0,11.00 mg,0,38.00 mcg,0.00 mcg,5.636 mg,0.577 mg,0.308 mg,0.309 mg,19.00 IU,1.00 mcg,0.00 mcg,11.00 mcg,0.00 mcg,160.00 mcg,0,0.00 mcg,0.655 mg,0.6 mg,0.00 IU,0.57 mg,0.57 mg,2.2 mcg,37.00 mg,0.270 mg,4.71 mg,97.00 mg,1.193 mg,303.00 mg,224.00 mg,37.7 mcg,2.06 mg,10.28 g,0.516 g,0.836 g,0.776 g,0.157 g,1.825 g,0.440 g,0.275 g,0,0.361 g,0.746 g,0.535 g,0.294 g,0.225 g,1.123 g,0.465 g,0.407 g,0.132 g,0.341 g,0.503 g,78.30 g,7.1 g,0.80 g,0,0,0,0,0,0,1.84 g,0.386 g,0.254 g,0.953 g,0.00 mg,0.0 g,1.37 g,0.00 mg,0.00 mg,8.21 g
354,"Rice noodles, dry",100 g,364,0.6g,0.2g,0,182.00 mg,5.5 mg,3.00 mcg,0.00 mcg,0.221 mg,0.051 mg,0.017 mg,0.031 mg,0.00 IU,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0.00 mcg,0,0.00 mcg,0.015 mg,0.0 mg,0.00 IU,0.11 mg,0.11 mg,0.0 mcg,18.00 mg,0.078 mg,0.70 mg,12.00 mg,0.498 mg,153.00 mg,30.00 mg,15.1 mcg,0.74 mg,5.95 g,0.332 g,0.516 g,0.549 g,0.107 g,1.098 g,0.267 g,0.149 g,0,0.244 g,0.488 g,0.207 g,0.144 g,0.317 g,0.278 g,0.310 g,0.210 g,0.072 g,0.314 g,0.348 g,80.18 g,1.6 g,0.12 g,0,0,0,0,0,0,0.56 g,0.153 g,0.175 g,0.150 g,0.00 mg,0.0 g,0.85 g,0.00 mg,0.00 mg,11.91 g
