meal_id,name,calories
263,"Cabbage, raw, savoy",27
265,"Broccoli raab, raw",22
266,"Corn grain, yellow",365
267,"Turtle, raw, green",89
268,"Chicory roots, raw",72
270,"Croutons, seasoned",465
271,"Snacks, taro chips",498
272,"Prickly pears, raw",41
276,Jams and preserves,278
277,"Carrots, raw, baby",35
279,"Semolina, enriched",360
280,"Spices, anise seed",337
281,"Snacks, corn cakes",387
282,"Catsup, low sodium",101
285,"Acerola juice, raw",23
286,"Jute, raw, potherb",34
287,"Fast food, biscuit",370
288,"Bagels, multigrain",241
290,"Nuts, almond paste",458
294,"Rolls, egg, dinner",307
295,"Bread, white wheat",238
296,"Onions, raw, sweet",32
297,"Onions, raw, welsh",34
299,"Rolls, rye, dinner",286
300,"Gravy, dry, au jus",313
302,"Hummus, commercial",166
304,"Carrot, dehydrated",341
305,"Vinegar, distilled",18
306,"Sapote, raw, mamey",124
307,"Soy flour, low-fat",372
308,"Syrups, sugar free",52
309,"Syrups, dark, corn",286
310,"Taco shells, baked",476
311,"Spices, cumin seed",375
312,"Bamboo shoots, raw",27
314,"Whey, dried, sweet",353
315,"Whey, fluid, sweet",27
316,"Spices, poppy seed",525
317,"Babyfood, pretzels",397
321,"Yardlong bean, raw",47
322,"Cress, raw, garden",32
323,"Dates, deglet noor",282
326,Vital wheat gluten,370
327,"Turnip greens, raw",32
328,"Sugars, granulated",387
330,"Pomegranates, raw",83
331,"Pears, raw, asian",42
332,"Cookies, molasses",430
333,"Cookies, fig bars",348
334,Liverwurst spread,305
336,"Chard, raw, swiss",19
338,"TACO BELL, Nachos",350
340,"Frankfurter, meat",290
341,"Rice flour, brown",363
342,"Peppermint, fresh",70
343,"Vinegar, red wine",19
344,"Vinegar, balsamic",88
346,"Rye flour, medium",349
347,"DENNY'S, coleslaw",183
348,"Bread, wheat bran",248
349,"Croissants, apple",254
350,"Candies, Tamarind",368
351,"Oheloberries, raw",28
352,"PACE, Salsa Verde",47
353,Barley malt flour,361
354,"Rice noodles, dry",364
357,"Plantains, cooked",116
358,"Burdock root, raw",72
362,"Gravy, dry, brown",367
365,"Muffins, oat bran",270
366,"Syrups, grenadine",268
367,"Raisins, seedless",299
368,"Strawberries, raw",32
370,"Wheat germ, crude",360
371,"Wheat, hard white",342
372,"Wheat bran, crude",216
374,"Spices, dill seed",305
376,"APPLEBEE'S, chili",157
377,"Grape leaves, raw",93
378,"Kale, raw, scotch",42
379,"Marmalade, orange",246
380,"Whey, dried, acid",339
381,"Whey, fluid, acid",24
382,"Eggplant, pickled",49
383,"Babyfood, cookies",433
384,"Fennel, raw, bulb",31
385,"Egg, dried, whole",592
386,"Coffeecake, fruit",311
387,"Candies, caramels",382
389,"Egg, dried, white",382
390,"Wild rice, cooked",101
392,"Corn grain, white",365
394,"Wheat, soft white",340
395,"Elderberries, raw",73
396,"Nuts, raw, acorns",387
397,"Orange juice, raw",45
398,"POPEYES, Coleslaw",161
399,"Cabbage, raw, red",31
400,"Blackberries, raw",43
401,"Wasabi, raw, root",109
403,"Raspberries, raw",52
404,"Corn bran, crude",224
405,"Bread, rice bran",243
406,"Taro shoots, raw",11
407,"Sugars, powdered",389
408,"Emu, raw, ground",134
409,"Cookies, fortune",378
411,"Couscous, cooked",112
412,"Dill weed, fresh",43
413,"Spearmint, dried",285
414,"Spearmint, fresh",44
415,Tamales (Navajo),153
416,"Rice bran, crude",316
417,"Rye flour, light",357
418,"Spices, bay leaf",313
419,"Spices, cardamom",311
420,"Lemon juice, raw",22
421,"Ginger root, raw",80
425,"Blueberries, raw",57
427,"Beet greens, raw",22
429,"Bagels, oat bran",255
431,"Clementines, raw",47
432,"Peas, raw, green",81
433,"Oat bran, cooked",40
434,"Pears, bosc, raw",67
435,"Sugar, turbinado",399
440,"Cranberries, raw",46
441,"POPEYES, biscuit",401
442,"Egg, dried, yolk",669
443,"Quinoa, uncooked",368
445,"Rose-apples, raw",25
450,"Oil, wheat germ",884
451,"Bread, oat bran",236
452,"Watermelon, raw",30
453,Potato pancakes,268
454,Spinach souffle,172
456,"Rosemary, fresh",131
457,"Syrups, sorghum",290
458,"Rye flour, dark",325
459,"Oil, tomatoseed",884
460,"Croutons, plain",407
462,"Spices, paprika",282
463,"Nectarines, raw",44
464,"Mulberries, raw",43
465,"Lotus root, raw",74
466,"Sauce, barbecue",172
469,"Breadfruit, raw",103
470,Arrowroot flour,357
471,"Pimento, canned",23
472,"Tomatillos, raw",32
473,"Raisins, seeded",296
475,Vanilla extract,288
477,"Wheat, sprouted",198
479,"Watercress, raw",11
481,"Bread, cinnamon",253
482,"Spices, saffron",310
483,"Lime juice, raw",25
484,"Spelt, uncooked",338
485,"Cabbage, kimchi",15
486,"Seeds, flaxseed",534
491,"Oil, rice bran",884
493,"Dates, medjool",277
494,"Arrowroot, raw",65
495,"Bread, oatmeal",269
496,"Bread, italian",271
497,"Tamarinds, raw",239
498,"Millet, puffed",354
499,"Vinegar, cider",21
501,"Oil, poppyseed",884
502,"Oil, grapeseed",884
503,"Longans, dried",286
504,"Pectin, liquid",11
505,"Pretzels, soft",338
506,"Quinoa, cooked",120
507,"Plantains, raw",122
508,"Parsley, fresh",36
509,"Barley, hulled",354
511,Dulce de Leche,315
512,"Radicchio, raw",23
513,"Bulgur, cooked",83
514,"Tempeh, cooked",195
516,"Millet, cooked",119
517,"Capers, canned",23
518,"Sapodilla, raw",83
519,"Wild rice, raw",357
520,"Arrowhead, raw",99
521,"Frog legs, raw",73
522,"Jackfruit, raw",95
523,"Litchis, dried",277
524,"Rutabagas, raw",37
525,"Cornsalad, raw",21
526,"Strudel, apple",274
527,"Oil, cupu assu",884
528,"Cherimoya, raw",75
530,"Asparagus, raw",20
531,"Apricots, raw",48
532,"Broccoli, raw",34
534,"Sugars, brown",380
535,Candied fruit,322
538,"Nuts, almonds",579
539,"Shallots, raw",72
540,"Couscous, dry",376
541,"Candies, hard",394
542,Meat extender,311
543,"Syrups, maple",260
544,Sorghum grain,329
545,"Oil, hazelnut",884
546,"Pepeao, dried",298
547,"Purslane, raw",20
548,"Radishes, raw",16
549,"Rolls, french",277
550,"Bagels, wheat",250
551,"KFC, Coleslaw",144
552,"Parsnips, raw",75
553,"Sugars, maple",354
554,"Collards, raw",32
555,Rice crackers,416
559,"Celeriac, raw",42
560,"Kumquats, raw",71
561,"Oat bran, raw",246
562,"Spelt, cooked",127
564,"Bread, potato",266
565,"Kohlrabi, raw",27
568,Tomato powder,302
571,"Celtuce, raw",18
572,"Thyme, fresh",101
573,"Basil, fresh",23
574,"Rhubarb, raw",21
575,"Nopales, raw",16
576,"Syrups, malt",318
577,"Oil, teaseed",884
578,"Oil, sheanut",884
579,"Oil, babassu",884
580,"Longans, raw",60
581,"Loquats, raw",47
582,"Epazote, raw",32
583,"Pumpkin, raw",26
584,"Carrots, raw",41
586,"Cabbage, raw",25
587,"Cardoon, raw",17
588,"Abiyuch, raw",69
589,"Bread, wheat",267
592,"Pummelo, raw",38
593,"Quinces, raw",57
594,Cracker meal,383
595,"Roselle, raw",49
596,"Soursop, raw",66
597,"Oil, coconut",892
598,"Wheat, durum",339
599,"KFC, biscuit",358
600,Millet flour,382
601,"Arugula, raw",25
602,Potato flour,357
603,"Litchis, raw",66
604,"Teff, cooked",101
605,"Spinach, raw",23
606,"Oil, mustard",884
607,"Oil, avocado",884
608,Phyllo dough,299
609,"Lentils, raw",352
611,"Cassava, raw",160
612,"Turnips, raw",28
613,"Bananas, raw",89
614,"Papayas, raw",43
615,Fruit syrup,341
616,"Chives, raw",30
617,Carob flour,222
618,Prune puree,257
619,"Salt, table",0
620,Chewing gum,360
622,"Tofu, fried",270
623,"Borage, raw",21
624,"Mangos, raw",60
625,"Garlic, raw",149
626,"Endive, raw",17
628,"Celery, raw",16
629,"Bagels, egg",278
630,"Bulgur, dry",342
631,"Feijoa, raw",61
632,"Millet, raw",378
634,"Oil, almond",884
635,"Oil, walnut",884
636,"Jujube, raw",79
637,"Oil, canola",884
638,"Syrup, Cane",269
639,"Onions, raw",40
640,Clif Z bar,409
643,"Bread, rye",259
644,"Eppaw, raw",150
645,"Limes, raw",30
646,"Pie, peach",224
647,"Pears, raw",57
648,"Plums, raw",46
649,"Rowal, raw",111
650,"Beets, raw",43
651,"Bread, egg",287
652,Buckwheat,343
653,"Oil, palm",884
655,Triticale,336
656,Rye grain,338
657,"Dock, raw",22
658,"Kale, raw",49
659,"Okra, raw",33
660,"Taro, raw",112
661,"Figs, raw",74
663,Molasses,290
664,Zwieback,426
665,"Yam, raw",118
666,"Oil, oat",884
667,Jellies,266
668,Eggnog,88
669,Catsup,101
670,Tempeh,192
671,Wasabi,292
672,Honey,304
673,Natto,211
674,Okara,76
675,Papad,371
676,Lard,902
677,Oats,389
678,Miso,198
679,Poi,112
680,"Spices, dried, oregano",265
681,"Winged bean leaves, raw",74
682,"Corn, raw, white, sweet",86
683,"Wheat flour, whole-grain",340
684,"CRACKER BARREL, coleslaw",175
686,"Cookies, chocolate wafers",433
687,"Mushrooms, raw, portabella",22
689,"Egg, poached, cooked, whole",143
690,"Noodles, chow mein, chinese",475
691,"Oil, cold pressed, flaxseed",884
692,"Triticale flour, whole-grain",338
694,"Smelt, dried (Alaska Native)",386
696,"Tofu, dried-frozen (koyadofu)",477
697,Poultry salad sandwich spread,200
699,"Rice flour, unenriched, white",366
701,"Babyfood, vegetable, crackers",477
702,"Babyfood, fruit, baby, cookie",435
706,HOUSE FOODS Premium Firm Tofu,85
708,"Seeds, high-fat, sesame flour",526
709,"Peppers, canned, green, chili",21
711,"Pumpkin, without salt, canned",34
713,"Beverages, orange, carbonated",48
714,"Kefir, LIFEWAY, plain, lowfat",41
715,"Candies, ALMOND JOY Candy Bar",479
718,"Wheat, cooked, KAMUT khorasan",132
719,"Sauce, ready-to-serve, hoisin",220
721,"Noodles, dry, somen, japanese",356
723,"Cookies, reduced fat, oatmeal",365
724,"Cranberries, sweetened, dried",308
726,"Rolls, hard (includes kaiser)",293
729,"Candies, sugar-coated almonds",474
