meal_id,name,calories
5979,"Beverages, powder, cereal grain beverage, coffee substitute",360
6033,"Cereals ready-to-eat, KELLOGG'S ALL-BRAN BRAN BUDS, KELLOGG",257
6041,"Beverages, 3-2-1 Plan, powder, SLIMFAST Shake Mix, UNILEVER",448
6114,"Cereals ready-to-eat, FIBER ONE Bran Cereal, GENERAL MILLS",207
6157,"Cereals ready-to-eat, KELLOGG'S ALL-BRAN COMPLETE Wheat Flakes, KELLOGG",327
6230,"Seeds, without salt added (decorticated), toasted, sesame seed kernels",567
6364,"Cereals ready-to-eat, RAISIN BRAN CLUSTERS, FIBER ONE, GENERAL MILLS",317
6494,"Seeds, with salt added (decorticated), toasted, sesame seed kernels",567
6739,"Seeds, with salt added, roasted, whole, pumpkin and squash seeds",446
6762,"Cereals ready-to-eat, KRETSCHMER Toasted Wheat Bran, SUN COUNTRY",200
6800,"Cereals ready-to-eat, Nutty Clusters & Almonds, FIBER ONE, GENERAL MILLS",348
7048,"Beverages,, 3-2-1 Plan, whey powder, high protein, SLIMFAST Shake Mix, UNILEVER",368
7169,"Cereals ready-to-eat, Chocolate Squares, FIBER ONE 80 Calories, GENERAL MILLS",253
7350,"Cereals ready-to-eat, Honey Squares, FIBER ONE 80 Calories, GENERAL MILLS",248
