meal_id,name,calories
331,"Pears, raw, asian",42
336,"Chard, raw, swiss",19
337,"Goose, raw, liver",133
341,"Rice flour, brown",363
342,"Peppermint, fresh",70
343,"Vinegar, red wine",19
344,"Vinegar, balsamic",88
345,"Luxury loaf, pork",141
346,"Rye flour, medium",349
348,"Bread, wheat bran",248
350,"Candies, Tamarind",368
351,"Oheloberries, raw",28
352,"PACE, Salsa Verde",47
353,Barley malt flour,361
354,"Rice noodles, dry",364
357,"Plantains, cooked",116
358,"Burdock root, raw",72
359,"Butterbur, canned",3
360,"Ostrich, raw, fan",117
361,"SILK Nog, soymilk",74
366,"Syrups, grenadine",268
367,"Raisins, seedless",299
368,"Strawberries, raw",32
369,"Fish, raw, burbot",90
371,"Wheat, hard white",342
372,"Wheat bran, crude",216
373,"Gooseberries, raw",44
377,"Grape leaves, raw",93
378,"Kale, raw, scotch",42
379,"Marmalade, orange",246
380,"Whey, dried, acid",339
381,"Whey, fluid, acid",24
382,"Eggplant, pickled",49
384,"Fennel, raw, bulb",31
389,"Egg, dried, white",382
390,"Wild rice, cooked",101
392,"Corn grain, white",365
394,"Wheat, soft white",340
395,"Elderberries, raw",73
397,"Orange juice, raw",45
399,"Cabbage, raw, red",31
400,"Blackberries, raw",43
401,"Wasabi, raw, root",109
403,"Raspberries, raw",52
404,"Corn bran, crude",224
405,"Bread, rice bran",243
406,"Taro shoots, raw",11
407,"Sugars, powdered",389
408,"Emu, raw, ground",134
409,"Cookies, fortune",378
410,"Fish, raw, cisco",98
411,"Couscous, cooked",112
412,"Dill weed, fresh",43
414,"Spearmint, fresh",44
417,"Rye flour, light",357
420,"Lemon juice, raw",22
421,"Ginger root, raw",80
424,"Orange peel, raw",97
425,"Blueberries, raw",57
427,"Beet greens, raw",22
429,"Bagels, oat bran",255
431,"Clementines, raw",47
432,"Peas, raw, green",81
433,"Oat bran, cooked",40
434,"Pears, bosc, raw",67
435,"Sugar, turbinado",399
440,"Cranberries, raw",46
444,"Emu, raw, oyster",141
445,"Rose-apples, raw",25
447,"Fish, raw, scup",105
451,"Bread, oat bran",236
452,"Watermelon, raw",30
457,"Syrups, sorghum",290
458,"Rye flour, dark",325
461,"Lemon peel, raw",47
463,"Nectarines, raw",44
464,"Mulberries, raw",43
465,"Lotus root, raw",74
466,"Sauce, barbecue",172
467,"Fish, raw, spot",123
468,"Crabapples, raw",76
469,"Breadfruit, raw",103
470,Arrowroot flour,357
471,"Pimento, canned",23
472,"Tomatillos, raw",32
473,"Raisins, seeded",296
475,Vanilla extract,288
477,"Wheat, sprouted",198
478,"Fish, raw, cusk",87
479,"Watercress, raw",11
480,"Fish, raw, ling",87
483,"Lime juice, raw",25
484,"Spelt, uncooked",338
485,"Cabbage, kimchi",15
493,"Dates, medjool",277
494,"Arrowroot, raw",65
495,"Bread, oatmeal",269
496,"Bread, italian",271
497,"Tamarinds, raw",239
498,"Millet, puffed",354
499,"Vinegar, cider",21
503,"Longans, dried",286
504,"Pectin, liquid",11
505,"Pretzels, soft",338
506,"Quinoa, cooked",120
507,"Plantains, raw",122
508,"Parsley, fresh",36
509,"Barley, hulled",354
512,"Radicchio, raw",23
513,"Bulgur, cooked",83
516,"Millet, cooked",119
517,"Capers, canned",23
518,"Sapodilla, raw",83
519,"Wild rice, raw",357
520,"Arrowhead, raw",99
521,"Frog legs, raw",73
522,"Jackfruit, raw",95
523,"Litchis, dried",277
524,"Rutabagas, raw",37
525,"Cornsalad, raw",21
528,"Cherimoya, raw",75
530,"Asparagus, raw",20
531,"Apricots, raw",48
532,"Broccoli, raw",34
534,"Sugars, brown",380
535,Candied fruit,322
539,"Shallots, raw",72
540,"Couscous, dry",376
541,"Candies, hard",394
542,Meat extender,311
543,"Syrups, maple",260
544,Sorghum grain,329
546,"Pepeao, dried",298
547,"Purslane, raw",20
548,"Radishes, raw",16
549,"Rolls, french",277
550,"Bagels, wheat",250
552,"Parsnips, raw",75
553,"Sugars, maple",354
554,"Collards, raw",32
559,"Celeriac, raw",42
560,"Kumquats, raw",71
562,"Spelt, cooked",127
564,"Bread, potato",266
565,"Kohlrabi, raw",27
568,Tomato powder,302
571,"Celtuce, raw",18
572,"Thyme, fresh",101
573,"Basil, fresh",23
574,"Rhubarb, raw",21
575,"Nopales, raw",16
576,"Syrups, malt",318
580,"Longans, raw",60
581,"Loquats, raw",47
582,"Epazote, raw",32
583,"Pumpkin, raw",26
584,"Carrots, raw",41
585,"Fish, surimi",99
586,"Cabbage, raw",25
587,"Cardoon, raw",17
588,"Abiyuch, raw",69
589,"Bread, wheat",267
592,"Pummelo, raw",38
593,"Quinces, raw",57
594,Cracker meal,383
595,"Roselle, raw",49
596,"Soursop, raw",66
598,"Wheat, durum",339
600,Millet flour,382
601,"Arugula, raw",25
602,Potato flour,357
603,"Litchis, raw",66
604,"Teff, cooked",101
605,"Spinach, raw",23
609,"Lentils, raw",352
611,"Cassava, raw",160
612,"Turnips, raw",28
613,"Bananas, raw",89
614,"Papayas, raw",43
615,Fruit syrup,341
616,"Chives, raw",30
617,Carob flour,222
618,Prune puree,257
619,"Salt, table",0
620,Chewing gum,360
623,"Borage, raw",21
624,"Mangos, raw",60
625,"Garlic, raw",149
626,"Endive, raw",17
627,Tofu yogurt,94
628,"Celery, raw",16
629,"Bagels, egg",278
630,"Bulgur, dry",342
631,"Feijoa, raw",61
632,"Millet, raw",378
636,"Jujube, raw",79
638,"Syrup, Cane",269
639,"Onions, raw",40
641,Fish broth,16
643,"Bread, rye",259
644,"Eppaw, raw",150
645,"Limes, raw",30
647,"Pears, raw",57
648,"Plums, raw",46
649,"Rowal, raw",111
650,"Beets, raw",43
652,Buckwheat,343
655,Triticale,336
656,Rye grain,338
657,"Dock, raw",22
658,"Kale, raw",49
659,"Okra, raw",33
660,"Taro, raw",112
661,"Figs, raw",74
662,"Goat, raw",109
663,Molasses,290
665,"Yam, raw",118
667,Jellies,266
668,Eggnog,88
669,Catsup,101
672,Honey,304
674,Okara,76
675,Papad,371
679,Poi,112
680,"Spices, dried, oregano",265
681,"Winged bean leaves, raw",74
682,"Corn, raw, white, sweet",86
683,"Wheat flour, whole-grain",340
685,"Fish, raw, king, mackerel",105
687,"Mushrooms, raw, portabella",22
688,"Fish, raw, striped, mullet",117
692,"Triticale flour, whole-grain",338
699,"Rice flour, unenriched, white",366
700,"Yogurt, nonfat, fruit variety",95
705,"Fish, smoked, chinook, salmon",117
706,HOUSE FOODS Premium Firm Tofu,85
709,"Peppers, canned, green, chili",21
711,"Pumpkin, without salt, canned",34
713,"Beverages, orange, carbonated",48
714,"Kefir, LIFEWAY, plain, lowfat",41
717,"Crustaceans, raw, queen, crab",90
718,"Wheat, cooked, KAMUT khorasan",132
719,"Sauce, ready-to-serve, hoisin",220
720,"Sauce, ready-to-serve, oyster",51
721,"Noodles, dry, somen, japanese",356
724,"Cranberries, sweetened, dried",308
726,"Rolls, hard (includes kaiser)",293
