meal_id,name,calories
1724,"Bread, toasted, enriched, raisin",297
1725,"Bread, protein (includes gluten)",245
1782,"English muffins, toasted, wheat",243
1787,"Crackers, seasoned, wafers, rye",381
1794,"Bread, oatmeal, reduced-calorie",210
1804,"Bread, toasted, sprouted, wheat",205
1818,"Crustaceans, canned, blue, crab",83
1819,"Wheat, uncooked, KAMUT khorasan",337
1831,"Seeds, boiled, breadfruit seeds",168
1832,"Seeds, raw, breadnut tree seeds",217
1854,"Crackers, low salt, whole-wheat",443
1874,"Wheat flours, unenriched, bread",361
1902,"Buckwheat groats, dry, roasted",346
1912,"Bread, unenriched, white, pita",275
1947,"Bread stuffing, dry mix, bread",386
2020,"Bread, wheat, reduced-calorie",217
2021,"Bread, white, reduced-calorie",207
2040,"KEEBLER, Wheat Crackers, TOWN HOUSE",489
2065,"PIZZA HUT 14"" Pepperoni Pizza, Pan Crust",291
2073,"Pancakes, incomplete, dry mix, buckwheat",340
2097,"PAPA JOHN'S 14"" Cheese Pizza, Thin Crust",295
2111,"Bread, prepared from recipe, irish soda",290
2116,"Turkey sticks, fried, battered, breaded",279
2129,"Cake, prepared from recipe, gingerbread",356
2144,"Pie crust, baked, regular, refrigerated",506
2148,"Babyfood, dry fortified, barley, cereal",376
2222,"PIZZA HUT, parmesan garlic, breadstick",343
2248,"PIZZA HUT 14"" Sausage Pizza, Pan Crust",287
2300,"MURRAY, Shortbread Cookies, SUGAR FREE",431
2350,"PEPPERIDGE FARM, Cinnamon Swirl Bread",300
2351,"English muffins, toasted, whole-wheat",221
2393,"Cereals, dry, instant, CREAM OF WHEAT",366
2421,"Fast foods, breaded and fried, shrimp",308
2430,"PIZZA HUT 12"" Cheese Pizza, Pan Crust",280
2465,"PIZZA HUT 14"" Cheese Pizza, Pan Crust",276
2481,"Bread, whole wheat, french or vienna",239
2499,"MURRAY, Shortbread Bites, SUGAR FREE",371
2563,"Cereals, cooked with water, WHEATENA",56
2565,"Cookies, refrigerated dough, oatmeal",424
2572,"Wheat flour, soft wheat, whole-grain",332
2610,"Snacks, rye, brown rice, rice cakes",386
2627,"PEPPERIDGE FARM, Pumpernickel Bread",259
2651,"Crustaceans, raw, northern, lobster",77
2687,"Bread crumbs, seasoned, grated, dry",383
2701,"Wheat flour, enriched, bread, white",361
2725,"Crustaceans, canned, mixed species, shrimp",100
2756,"MURRAY, Pecan Shortbread Cookies, SUGAR FREE",514
2789,"PEPPERIDGE FARM, Jewish Rye Bread (Seedless)",253
2790,"Bread stuffing, prepared, dry mix, cornbread",179
2818,"Cereals, dry, whole wheat hot natural cereal",342
2820,"Bread, french or vienna (includes sourdough)",272
2830,"Snacks, unsalted, wheat-based, sesame sticks",541
2844,"Beef, raw, sweetbread, imported, New Zealand",303
2859,"Lamb, raw, sweetbread, imported, New Zealand",72
2869,"PAPA JOHN'S 14"" Cheese Pizza, Original Crust",260
2877,"Chicken, raw, skin only, broilers or fryers",349
2878,"Chicken, raw, meat only, broilers or fryers",119
2925,"KEEBLER, Simply Shortbread Cookies, SANDIES",528
2931,"Crustaceans, moist heat, cooked, blue, crab",83
2937,"PEPPERIDGE FARM, Whole Grain 15 Grain Bread",270
